name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Bangkok,Thailand",2023-03-31,35.7,28,31.1,44.4,32.5,37.3,24.7,69.8,0,0,0,,0,0,37.1,25,191.3,1008.2,43,10,181.5,15.7,7,60,2023-03-31T06:15:00,2023-03-31T18:29:50,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,E4214,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
"Bangkok,Thailand",2023-04-01,35.5,28.7,31,41.3,33.3,36.9,24.4,69.1,0,0,0,,0,0,36,21.9,185.5,1008.1,38,10,173.1,15,6,60,2023-04-01T06:14:19,2023-04-01T18:29:55,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,E4214,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
"Bangkok,Thailand",2023-04-02,33.9,28.2,30.4,42.6,32.9,36.3,24.5,71.4,0.659,100,4.17,rain,0,0,36.7,20,189.8,1007.8,43.1,9.9,115.3,10,6,60,2023-04-02T06:13:38,2023-04-02T18:30:00,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48429099999,E4214,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
"Bangkok,Thailand",2023-04-03,37.2,28,31.8,41.1,32.5,35.6,22.1,59.3,0,0,0,rain,0,0,33.1,18,196.7,1007.1,35.9,9.9,200.6,17.2,7,75,2023-04-03T06:12:58,2023-04-03T18:30:05,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,E4214,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
"Bangkok,Thailand",2023-04-04,37.2,28.2,31.8,41.8,32.3,36.4,22.9,61.9,0,0,0,,0,0,34.2,21.4,194.3,1006.7,35.5,9.9,180,15.6,7,30,2023-04-04T06:12:17,2023-04-04T18:30:11,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,E4214,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
"Bangkok,Thailand",2023-04-05,37.5,27.5,31.8,40.2,29.4,34.9,21.2,56.6,0,0,0,,0,0,31,16.6,196.7,1006.9,34,9.7,201,17.4,7,60,2023-04-05T06:11:37,2023-04-05T18:30:16,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,E4214,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
"Bangkok,Thailand",2023-04-06,37.5,28.2,32.1,45.7,32.9,38.1,24.2,65,0,0,0,,0,0,28.4,17.9,184.3,1007.7,36.8,9.6,189.9,16.4,7,30,2023-04-06T06:10:57,2023-04-06T18:30:22,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,E4214,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
"Bangkok,Thailand",2023-04-07,32.5,29,30.2,40.1,32,35.7,24.2,70.9,0.025,100,8.33,rain,0,0,33.1,23.2,169.3,1009.5,46.7,9.9,81.5,6.8,3,60,2023-04-07T06:10:18,2023-04-07T18:30:27,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48429099999,E4214,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
"Bangkok,Thailand",2023-04-08,36.5,28,31.3,43,32.3,37.1,24.3,68.4,0.001,100,4.17,rain,0,0,36,23.7,186.9,1011.2,42.2,10,196,16.8,10,75,2023-04-08T06:09:38,2023-04-08T18:30:33,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48429099999,E4214,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
"Bangkok,Thailand",2023-04-09,37,27,31.3,45.2,30.1,37,24.2,67.7,0,0,0,,0,0,22.7,20.5,174.8,1011.3,33.3,9.9,142,12.1,6,60,2023-04-09T06:08:59,2023-04-09T18:30:39,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,E4214,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
"Bangkok,Thailand",2023-04-10,36.5,28.2,31.6,44.1,32.9,38.3,24.9,69.3,0,0,0,,0,0,33.5,22.8,186.7,1009.7,32.5,10,220.4,19,10,75,2023-04-10T06:08:21,2023-04-10T18:30:45,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,E4214,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
"Bangkok,Thailand",2023-04-11,36.5,29,32.1,45.8,34.3,39.4,25.2,68.3,0,0,0,,0,0,34.9,22.8,178.8,1008.7,38.7,9.9,166.5,14.2,6,60,2023-04-11T06:07:42,2023-04-11T18:30:52,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,E4214,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
